V,S,F
0.0, 0.7353827661998569, 0.512396335710946
0.2, 0.7310076820837345, 0.5096411228551005
0.4, 0.7276386027240459, 0.5076011615310563
0.6, 0.7250134922947362, 0.5060645411722362
0.8, 0.7229599700739465, 0.5048898658096732
1.0, 0.7213646403416707, 0.503980235549534
1.2, 1.2896379483728153, 0.6671249277605966
1.4, 0.7192889657914439, 0.5027041454377468
1.6, 0.7187459940934896, 0.5022541109174199
1.8, 0.7185253942721977, 0.5018918152418337
2.0, 0.7186438460414096, 0.5015979617382982
2.2, 0.7191360675795272, 0.5013579917831521
2.4, 0.7200575271008925, 0.5011608189961407
2.6, 0.7214895440521845, 0.5009978863527067
2.8, 0.7235492386292899, 0.500862593013153
3.0, 0.7264054431523986, 0.5007497662882088
3.2, 0.7303073631241708, 0.5006553544881172
3.4, 0.73563732603196, 0.5005761663342128
3.6, 0.7430163662797875, 0.5005097271205159
3.8, 0.7535408238838479, 0.50045414593842
4.0, 0.7694043677501224, 0.5002738990660873
