============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 1.8, S_EE = 1.1601, F = 0.2932, χ = 176 / 1500, step_time = 2.6249 s, elapsed_time = 164.5141 s, estimated_remaining_time = 729.1976 s
t = 1.85, S_EE = 1.1613, F = 0.2929, χ = 179 / 1500, step_time = 3.2932 s, elapsed_time = 170.8068 s, estimated_remaining_time = 732.6713 s
t = 1.9, S_EE = 1.1625, F = 0.2927, χ = 183 / 1500, step_time = 2.8937 s, elapsed_time = 176.4588 s, estimated_remaining_time = 732.9827 s
t = 1.95, S_EE = 1.1638, F = 0.2926, χ = 188 / 1500, step_time = 3.1155 s, elapsed_time = 182.4971 s, estimated_remaining_time = 734.5508 s
t = 2.0, S_EE = 1.165, F = 0.2924, χ = 192 / 1500, step_time = 3.4136 s, elapsed_time = 188.9163 s, estimated_remaining_time = 737.2343 s
t = 2.05, S_EE = 1.1662, F = 0.2923, χ = 197 / 1500, step_time = 3.4378 s, elapsed_time = 195.4802 s, estimated_remaining_time = 740.0322 s
t = 2.1, S_EE = 1.1674, F = 0.2922, χ = 201 / 1500, step_time = 3.3829 s, elapsed_time = 202.2291 s, estimated_remaining_time = 743.0744 s
t = 2.15, S_EE = 1.1687, F = 0.2921, χ = 205 / 1500, step_time = 3.5241 s, elapsed_time = 209.2001 s, estimated_remaining_time = 746.464 s
t = 2.2, S_EE = 1.1699, F = 0.292, χ = 209 / 1500, step_time = 3.9399 s, elapsed_time = 216.6683 s, estimated_remaining_time = 751.1168 s
t = 2.25, S_EE = 1.1712, F = 0.2919, χ = 214 / 1500, step_time = 3.6954 s, elapsed_time = 224.6133 s, estimated_remaining_time = 756.8492 s
t = 2.3, S_EE = 1.1724, F = 0.2919, χ = 218 / 1500, step_time = 4.5999 s, elapsed_time = 232.4553 s, estimated_remaining_time = 761.662 s
t = 2.35, S_EE = 1.1737, F = 0.2918, χ = 223 / 1500, step_time = 4.6245 s, elapsed_time = 241.2354 s, estimated_remaining_time = 768.9378 s
t = 2.4, S_EE = 1.175, F = 0.2917, χ = 228 / 1500, step_time = 4.7114 s, elapsed_time = 250.3258 s, estimated_remaining_time = 776.5208 s
t = 2.45, S_EE = 1.1763, F = 0.2917, χ = 233 / 1500, step_time = 4.8144 s, elapsed_time = 259.3968 s, estimated_remaining_time = 783.3783 s
